Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9935454429898463
unloading_parameter,[-8.83964440e-08  5.01621298e-04 -9.59694250e-01  6.21130843e+02]
peak_time,1834.02
peak_value,2.994394
peak_mean,2.9944899281437127
plus_minus_toleranz,0.0010000280044079439
U3,0.008312067901385944
U3_mean,0.008407996045098898
manufacturer,eaton
capacitance,25
typ,C
methode,A
klass,3
dut,2
version,2
U_R,3.0
ESR,0.018
I_c,4.386
I_dc,0.3





time,value,derivative
1834.02,2.994394,-0.21610000000016008
1834.03,2.992233,-0.3202500000002999
1834.04,2.987989,-0.23535000000023842
1834.05,2.987526,-0.03084999999998672
1834.06,2.987372,-0.019299999999986994
1834.07,2.98714,-0.030850000000043565
1834.08,2.986755,-0.02310000000011314
1834.0900000000001,2.986678,-0.015450000000015507
1834.1000000000001,2.986446,-0.038600000000059254
1834.1100000000001,2.985906,-0.023150000000015325
1834.1200000000001,2.985983,-0.015450000000015507
1834.13,2.985597,-0.023150000000015325
1834.14,2.98552,-0.023150000000015325
1834.15,2.985134,-0.023150000000043747
1834.16,2.985057,-0.019299999999986994
1834.17,2.984748,-0.007699999999999818
1834.18,2.984903,0.0
1834.19,2.984748,-0.011600000000015598
1834.2,2.984671,-0.027000000000043656
1834.21,2.984208,-0.015399999999999636
1834.22,2.984363,0.0039000000000157797
1834.23,2.984286,-0.019300000000043838
1834.24,2.983977,-0.04245000000005916
1834.25,2.983437,-0.015449999999987085
1834.26,2.983668,-0.003849999999999909
1834.27,2.98336,-0.027000000000043656
1834.28,2.983128,-0.007750000000015689
1834.29,2.983205,0.0
1834.3,2.983128,-0.019250000000027967
1834.31,2.98282,-0.027000000000015234
1834.32,2.982588,-0.011599999999987176
1834.33,2.982588,-0.0038499999998578005
1834.3400000000001,2.982511,0.0038500000002272827
1834.3500000000001,2.982665,-0.003849999999999909
1834.3600000000001,2.982434,-0.007699999999999818
1834.3700000000001,2.982511,-0.015450000000015507
1834.38,2.982125,-0.034750000000059345
1834.39,2.981816,-0.030850000000043565
1834.4,2.981508,-0.011549999999999727
1834.41,2.981585,-0.0038499999999714873
1834.42,2.981431,-0.019299999999986994
1834.43,2.981199,-0.015450000000043929
1834.44,2.981122,0.0
1834.45,2.981199,0.015450000000043929
1834.46,2.981431,-0.00770000000002824
1834.47,2.981045,-0.030900000000059435
1834.48,2.980813,-0.019300000000015416
1834.49,2.980659,-0.015399999999999636
1834.5,2.980505,0.003849999999999909
1834.51,2.980736,-0.011600000000015598
1834.52,2.980273,-0.023150000000015325
1834.53,2.980273,-0.007699999999999818
1834.54,2.980119,-0.011549999999999727
1834.55,2.980042,-0.011600000000015598
1834.56,2.979887,-0.0039000000000157797
1834.57,2.979964,0.0
1834.58,2.979887,-0.019249999999516376
1834.5900000000001,2.979579,-0.019249999999544798
1834.6000000000001,2.979502,-0.011600000000015598
1834.6100000000001,2.979347,-0.011599999999987176
1834.6200000000001,2.97927,0.0
1834.63,2.979347,-0.0038500000000283308
1834.64,2.979193,-0.015400000000028058
1834.65,2.979039,-0.023150000000015325
1834.66,2.97873,-0.015450000000015507
1834.67,2.97873,-0.007699999999999818
1834.68,2.978576,-0.034700000000043474
1834.69,2.978036,-0.023150000000015325
1834.7,2.978113,0.00770000000002824
1834.71,2.97819,0.0
1834.72,2.978113,-0.003849999999999909
1834.73,2.978113,-0.015450000000015507
1834.74,2.977804,-0.011600000000015598
1834.75,2.977881,-0.0038500000000283308
1834.76,2.977727,-0.015450000000015507
1834.77,2.977572,-0.015449999999987085
1834.78,2.977418,-0.019250000000027967
1834.79,2.977187,-0.027000000000015234
1834.8,2.976878,-0.011600000000015598
1834.81,2.976955,-0.019300000000043838
1834.82,2.976492,-0.007699999999999818
1834.83,2.976801,-0.00769999999903348
1834.8400000000001,2.976338,-0.019299999999191186
1834.8500000000001,2.976415,-0.007750000000015689
1834.8600000000001,2.976183,-0.011600000000015598
1834.8700000000001,2.976183,-0.011549999999999727
1834.88,2.975952,0.0039000000000157797
1834.89,2.976261,-0.0038500000000283308
