Signal Name,Original_Signal (Time Cut)
holding_voltage,2.986307661207391
unloading_parameter,[-1.65801339e-04  9.14133717e-01 -1.68011457e+03  1.02938192e+06]
peak_time,1832.85
peak_value,2.98714
peak_mean,2.9864931297405186
plus_minus_toleranz,0.0019005725098503764
U3,0.056205610878169665
U3_mean,0.05555874061868815
manufacturer,eaton
capacitance,25
typ,C
methode,A
klass,4
dut,1
version,1
U_R,3.0
ESR,0.018
I_c,4.386
I_dc,3.0





time,value,derivative
1832.8500000000001,2.98714,-0.6327000000005948
1832.8600000000001,2.980813,-2.253100000002064
1832.8700000000001,2.942078,-2.160500000001946
1832.88,2.937603,-0.4668000000004042
1832.89,2.932742,-0.39735000000035825
1832.9,2.929656,-0.216050000000223
1832.91,2.928421,-0.23535000000023842
1832.92,2.924949,-0.28550000000024056
1832.93,2.922711,-0.1582000000001358
1832.94,2.921785,-0.19290000000017926
1832.95,2.918853,-0.24305000000023824
1832.96,2.916924,-0.10805000000010523
1832.97,2.916692,-0.1620500000001357
1832.98,2.913683,-0.22760000000022274
1832.99,2.91214,-0.08875000000006139
1833.0,2.911908,-0.14275000000012028
1833.01,2.909285,-0.20830000000020732
1833.02,2.907742,-0.0733000000000743
1833.03,2.907819,-0.11960000000010496
1833.04,2.90535,-0.21220000000019468
1833.05,2.903575,-0.09260000000008972
1833.06,2.903498,-0.1080500000000768
1833.07,2.901414,-0.18905000000017935
1833.08,2.899717,-0.08100000000118257
1833.0900000000001,2.899794,-0.11190000000152622
1833.1000000000001,2.897479,-0.20060000000017908
1833.1100000000001,2.895782,-0.0694500000000744
1833.1200000000001,2.89609,-0.10030000000011796
1833.13,2.893776,-0.19675000000017917
1833.14,2.892155,-0.07720000000006166
1833.15,2.892232,-0.10030000000008954
1833.16,2.890149,-0.19675000000017917
1833.17,2.888297,-0.09260000000008972
1833.18,2.888297,-0.0926000000000613
1833.19,2.886445,-0.204450000000179
1833.2,2.884208,-0.08875000000011823
1833.21,2.88467,-0.08105000000006157
1833.22,2.882587,-0.18900000000016348
1833.23,2.88089,-0.0733000000000743
1833.24,2.881121,-0.0926000000000613
1833.25,2.879038,-0.21220000000019468
1833.26,2.876877,-0.0849000000000899
1833.27,2.87734,-0.0733000000000743
1833.28,2.875411,-0.19290000000017926
1833.29,2.873482,-0.0926000000000613
1833.3,2.873559,-0.08875000000008981
1833.31,2.871707,-0.17745000000016375
1833.32,2.87001,-0.08100000000007412
1833.33,2.870087,-0.08104999999713414
1833.3400000000001,2.868389,-0.1967499999985307
1833.3500000000001,2.866152,-0.08485000000007403
1833.3600000000001,2.866692,-0.0733000000000743
1833.3700000000001,2.864686,-0.19675000000017917
1833.38,2.862757,-0.08875000000008981
1833.39,2.862911,-0.07720000000009009
1833.4,2.861213,-0.18905000000017935
1833.41,2.85913,-0.08870000000007394
1833.42,2.859439,-0.06945000000004597
1833.43,2.857741,-0.19290000000017926
1833.44,2.855581,-0.09260000000008972
1833.45,2.855889,-0.06945000000004597
1833.46,2.854192,-0.18905000000017935
1833.47,2.852108,-0.09645000000008963
1833.48,2.852263,-0.061700000000030286
1833.49,2.850874,-0.16975000000016394
1833.5,2.848868,-0.10420000000010532
1833.51,2.84879,-0.07330000000004588
1833.52,2.847402,-0.1890000000001919
1833.53,2.84501,-0.10035000000010541
1833.54,2.845395,-0.05405000000001792
1833.55,2.843929,-0.18905000000017935
1833.56,2.841614,-0.11185000000011769
1833.57,2.841692,-0.06940000000005853
1833.58,2.840226,-0.17749999999745114
1833.5900000000001,2.838142,-0.09644999999642323
1833.6000000000001,2.838297,-0.05400000000003047
1833.6100000000001,2.837062,-0.1736500000001513
1833.6200000000001,2.834824,-0.10415000000008945
1833.63,2.834979,-0.0578500000000588
1833.64,2.833667,-0.18905000000017935
1833.65,2.831198,-0.11575000000010505
1833.66,2.831352,-0.05405000000004634
1833.67,2.830117,-0.17745000000016375
1833.68,2.827803,-0.06940000000005853
1833.69,2.828729,-0.05405000000001792
1833.7,2.826722,-0.23535000000023842
1833.71,2.824022,-0.1311500000001331
1833.72,2.824099,-0.06175000000004616
1833.73,2.822787,-0.17360000000016385
1833.74,2.820627,-0.11575000000010505
1833.75,2.820472,-0.06175000000004616
1833.76,2.819392,-0.19290000000017926
1833.77,2.816614,-0.1273000000001332
1833.78,2.816846,-0.08485000000007403
1833.79,2.814917,-0.20450000000019486
1833.8,2.812756,-0.11190000000007672
1833.81,2.812679,-0.05400000000003047
1833.82,2.811676,-0.16975000000019236
1833.83,2.809284,-0.09260000000236346
1833.8400000000001,2.809824,-0.05785000000193463
1833.8500000000001,2.808127,-0.19675000000017917
1833.8600000000001,2.805889,-0.10420000000010532
1833.8700000000001,2.806043,-0.03860000000003083
1833.88,2.805117,-0.16975000000013551
1833.89,2.802648,-0.10800000000008936
1833.9,2.802957,-0.05400000000005889
1833.91,2.801568,-0.18905000000017935
1833.92,2.799176,-0.1273000000001332
1833.93,2.799022,-0.05400000000005889
1833.94,2.798096,-0.16980000000015139
1833.95,2.795626,-0.11960000000010496
1833.96,2.795704,-0.04630000000003065
1833.97,2.7947,-0.16980000000015139
1833.98,2.792308,-0.1311500000001331
1833.99,2.792077,-0.03855000000004338
1834.0,2.791537,-0.1620500000001357
1834.01,2.788836,-0.13505000000012046
1834.02,2.788836,-0.0578500000000588
1834.03,2.787679,-0.1659000000001356
1834.04,2.785518,-0.1080500000000768
1834.05,2.785518,-0.06170000000005871
1834.06,2.784284,-0.18905000000017935
1834.07,2.781737,-0.10035000000010541
1834.08,2.782277,-0.04629999999724532
1834.0900000000001,2.780811,-0.1928999999990424
1834.1000000000001,2.778419,-0.11185000000008927
1834.1100000000001,2.778574,-0.05015000000003056
1834.1200000000001,2.777416,-0.17365000000017972
1834.13,2.775101,-0.10415000000011787
1834.14,2.775333,-0.05785000000003038
1834.15,2.773944,-0.18905000000017935
1834.16,2.771552,-0.11185000000008927
1834.17,2.771707,-0.06175000000004616
1834.18,2.770317,-0.18520000000017944
1834.19,2.768003,-0.11570000000008918
1834.2,2.768003,-0.0733000000000743
1834.21,2.766537,-0.18520000000017944
1834.22,2.764299,-0.10805000000010523
1834.23,2.764376,-0.03470000000001505
1834.24,2.763605,-0.1659000000001356
1834.25,2.761058,-0.12735000000012064
1834.26,2.761058,-0.06945000000004597
1834.27,2.759669,-0.17360000000016385
1834.28,2.757586,-0.09645000000008963
1834.29,2.75774,-0.04630000000003065
1834.3,2.75666,-0.18520000000017944
1834.31,2.754036,-0.11190000000010514
1834.32,2.754422,-0.06170000000005871
1834.33,2.752802,-0.17744999999780475
1834.3400000000001,2.750873,-0.08489999999665088
1834.3500000000001,2.751104,-0.06560000000007449
1834.3600000000001,2.749561,-0.19290000000017926
1834.3700000000001,2.747246,-0.10030000000006112
1834.38,2.747555,-0.04240000000004329
1834.39,2.746398,-0.17360000000019227
1834.4,2.744083,-0.11190000000010514
1834.41,2.74416,-0.05790000000004625
1834.42,2.742925,-0.18520000000017944
1834.43,2.740456,-0.12345000000010486
1834.44,2.740456,-0.06170000000005871
1834.45,2.739222,-0.17745000000016375
1834.46,2.736907,-0.08875000000008981
1834.47,2.737447,-0.04245000000003074
1834.48,2.736058,-0.1775000000001512
1834.49,2.733897,-0.11190000000010514
1834.5,2.73382,-0.07715000000007421
1834.51,2.732354,-0.17745000000016375
1834.52,2.730271,-0.09645000000008963
1834.53,2.730425,-0.06560000000004607
1834.54,2.728959,-0.17745000000016375
1834.55,2.726876,-0.09645000000008963
1834.56,2.72703,-0.05405000000001792
1834.57,2.725795,-0.18135000000017953
1834.58,2.723403,-0.10800000000187993
1834.5900000000001,2.723635,-0.0771500000014953
1834.6000000000001,2.72186,-0.18130000000016366
1834.6100000000001,2.720009,-0.08100000000007412
1834.6200000000001,2.72024,-0.0694500000000744
1834.63,2.71862,-0.1813500000001511
1834.64,2.716613,-0.08875000000006139
1834.65,2.716845,-0.08100000000007412
1834.66,2.714993,-0.17360000000016385
1834.67,2.713373,-0.08100000000007412
1834.68,2.713373,-0.08875000000008981
1834.69,2.711598,-0.18135000000017953
1834.7,2.709746,-0.08875000000006139
1834.71,2.709823,-0.06945000000004597
1834.72,2.708357,-0.17745000000016375
1834.73,2.706274,-0.09645000000008963
1834.74,2.706428,-0.08875000000008981
1834.75,2.704499,-0.18520000000017944
