Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9857490846435697
unloading_parameter,[-2.00332759e-04  1.10425193e+00 -2.02902540e+03  1.24282723e+06]
peak_time,1832.92
peak_value,2.985212
peak_mean,2.986260844
plus_minus_toleranz,0.002234319132326203
U3,0.05753836772096177
U3_mean,0.058587211720961374
manufacturer,eaton
capacitance,25
typ,C
methode,A
klass,4
dut,2
version,1
U_R,3.0
ESR,0.018
I_c,4.386
I_dc,3.0





time,value,derivative
1832.92,2.985212,-0.679100000000639
1832.93,2.978421,-2.230000000002036
1832.94,2.940612,-2.2492500000020357
1832.95,2.933436,-0.4784000000004198
1832.96,2.931044,-0.32020000000028404
1832.97,2.927032,-0.3433500000003278
1832.98,2.924177,-0.18905000000017935
1832.99,2.923251,-0.2392000000002099
1833.0,2.919393,-0.27780000000024074
1833.01,2.917695,-0.13890000000012037
1833.02,2.916615,-0.23145000000022264
1833.03,2.913066,-0.18905000000017935
1833.04,2.912834,-0.10805000000010523
1833.05,2.910905,-0.2199000000001945
1833.06,2.908436,-0.12730000000010477
1833.07,2.908359,-0.1466000000001202
1833.08,2.905504,-0.2083499999995695
1833.0900000000001,2.904192,-0.07329999999791426
1833.1000000000001,2.904038,-0.15430000000014843
1833.1100000000001,2.901106,-0.16975000000013551
1833.1200000000001,2.900643,-0.08875000000006139
1833.13,2.899331,-0.19675000000017917
1833.14,2.896708,-0.11960000000010496
1833.15,2.896939,-0.09650000000007708
1833.16,2.894778,-0.19290000000017926
1833.17,2.893081,-0.10030000000011796
1833.18,2.892772,-0.1389000000001488
1833.19,2.890303,-0.16975000000013551
1833.2,2.889377,-0.07330000000004588
1833.21,2.888837,-0.15045000000014852
1833.22,2.886368,-0.1273000000001332
1833.23,2.886291,-0.06945000000004597
1833.24,2.884979,-0.1813500000001511
1833.25,2.882664,-0.10415000000008945
1833.26,2.882896,-0.09645000000008963
1833.27,2.880735,-0.17750000000017963
1833.28,2.879346,-0.06560000000007449
1833.29,2.879423,-0.13885000000013292
1833.3,2.876569,-0.15430000000014843
1833.31,2.876337,-0.05405000000004634
1833.32,2.875488,-0.1813500000001511
1833.33,2.87271,-0.12345000000220807
1833.3400000000001,2.873019,-0.07715000000169425
1833.3500000000001,2.871167,-0.20060000000017908
1833.3600000000001,2.869007,-0.07715000000007421
1833.3700000000001,2.869624,-0.11575000000010505
