Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9868186110842587
unloading_parameter,[-8.43606730e-04  8.69949048e-01 -2.99192875e+02  3.43196270e+04]
peak_time,340.73
peak_value,2.986446
peak_mean,2.9869702874251494
plus_minus_toleranz,0.00112304891490261
U3,0.08027854264685086
U3_mean,0.08080283007200029
manufacturer,eaton
capacitance,25
typ,C
methode,B
klass,1
dut,2
version,1
U_R,3.0
ESR,0.018
I_c,4.386
I_dc,4.167





time,value,derivative
340.73,2.986446,-4.429000000004
340.74,2.942156,-3.3951000000031115
340.75,2.918544,-1.4931000000013626
340.76,2.912294,-0.5632500000004939
340.77,2.907279,-0.45139999999940983
340.78000000000003,2.903266,-0.37039999999910833
340.79,2.899871,-0.33180000000029963
340.8,2.89663,-0.2932000000002688
340.81,2.894007,-0.27005000000022505
340.82,2.891229,-0.285500000000269
340.83,2.888297,-0.25464999999974225
340.84000000000003,2.886136,-0.21989999999959764
340.85,2.883899,-0.24305000000023824
340.86,2.881275,-0.25850000000025375
340.87,2.878729,-0.22375000000022283
340.88,2.8768,-0.20450000000016644
340.89,2.874639,-0.20449999999962643
340.90000000000003,2.87271,-0.18899999999962347
340.91,2.870859,-0.19675000000017917
340.92,2.868775,-0.19290000000015084
340.93,2.867001,-0.17360000000016385
340.94,2.865303,-0.18135000000017953
340.95,2.863374,-0.285500000000269
340.96,2.859593,-0.18135000000074797
340.97,2.859747,-0.08490000000037412
340.98,2.857895,-0.19675000000017917
340.99,2.855812,-0.18515000000016357
341.0,2.854192,-0.18520000000017944
341.01,2.852108,-0.18135000000017953
341.02,2.850565,-0.1581499999996936
341.03000000000003,2.848945,-0.16589999999970928
341.04,2.847247,-0.16975000000019236
341.05,2.84555,-0.16205000000016412
341.06,2.844006,-0.15050000000010755
341.07,2.84254,-0.16975000000013551
341.08,2.840611,-0.17744999999976585
341.09000000000003,2.838991,-0.16584999999972183
341.1,2.837294,-0.1967500000002076
341.11,2.835056,-0.18520000000017944
341.12,2.83359,-0.15050000000010755
341.13,2.832046,-0.1736500000001513
341.14,2.830117,-0.15814999999992096
341.15000000000003,2.828883,-0.15814999999989254
341.16,2.826954,-0.16975000000016394
341.17,2.825488,-0.1466000000001486
341.18,2.824022,-0.1582000000001358
341.19,2.822324,-0.17365000000012287
341.2,2.820549,-0.20835000000019477
341.21,2.818157,-0.21599999999972397
341.22,2.816229,-0.19289999999961083
341.23,2.814299,-0.1582000000001358
341.24,2.813065,-0.15430000000014843
341.25,2.811213,-0.1582000000001358
341.26,2.809901,-0.1466000000001486
341.27,2.808281,-0.16589999999965244
341.28000000000003,2.806583,-0.16589999999968086
341.29,2.804963,-0.15815000000011992
341.3,2.80342,-0.1466000000001202
341.31,2.802031,-0.1466000000001486
341.32,2.800488,-0.16975000000013551
341.33,2.798636,-0.18904999999961092
341.34000000000003,2.796707,-0.17749999999958277
341.35,2.795086,-0.16205000000016412
341.36,2.793466,-0.16200000000014825
341.37,2.791846,-0.14275000000012028
341.38,2.790611,-0.15435000000013588
341.39,2.788759,-0.15819999999988
341.40000000000003,2.787447,-0.1388999999997793
341.41,2.785981,-0.1504500000001201
341.42,2.784438,-0.16200000000014825
341.43,2.782741,-0.17360000000016385
341.44,2.780966,-0.18135000000017953
341.45,2.779114,-0.19290000000017926
341.46,2.777108,-0.16204999999993674
341.47,2.775873,-0.15819999999988
341.48,2.773944,-0.17360000000016385
341.49,2.772401,-0.1504500000001201
341.5,2.770935,-0.1659000000001356
341.51,2.769083,-0.16975000000016394
341.52,2.76754,-0.1504499999997222
341.53000000000003,2.766074,-0.14659999999969386
341.54,2.764608,-0.15435000000013588
341.55,2.762987,-0.15435000000013588
341.56,2.761521,-0.17360000000016385
