Signal Name,Original_Signal (Time Cut)
holding_voltage,2.989627844655615
unloading_parameter,[-1.19148981e-04  6.69239151e-01 -1.25310644e+03  7.82188665e+05]
peak_time,1867.39
peak_value,2.988606
peak_mean,2.9890026200000004
plus_minus_toleranz,0.001275950242976235
U3,0.062085035170748704
U3_mean,0.06248165517074922
manufacturer,kyocera
capacitance,25
typ,C
methode,A
klass,4
dut,2
version,1
U_R,3.0
ESR,0.05
I_c,1.579
I_dc,3.0





time,value,derivative
1867.39,2.988606,-1.6666000000015004
1867.4,2.97194,-2.5617000000023324
1867.41,2.937372,-1.948350000001767
1867.42,2.932973,-0.3935500000003458
1867.43,2.929501,-0.32405000000031237
1867.44,2.926492,-0.26235000000025366
1867.45,2.924254,-0.2469500000002256
1867.46,2.921553,-0.23535000000021
1867.47,2.919547,-0.204450000000179
1867.48,2.917464,-0.2083000000001789
1867.49,2.915381,-0.18520000000017944
1867.5,2.91376,-0.15050000000013597
1867.51,2.912371,-0.14275000000012028
1867.52,2.910905,-0.1427500000001487
1867.53,2.909516,-0.1427500000001487
1867.54,2.90805,-0.1350000000001046
1867.55,2.906816,-0.13115000000010468
1867.56,2.905427,-0.1543500000001643
1867.57,2.903729,-0.1620500000001357
1867.58,2.902186,-0.13114999999913834
1867.5900000000001,2.901106,-0.11189999999891143
1867.6000000000001,2.899948,-0.11575000000010505
1867.6100000000001,2.898791,-0.13890000000012037
1867.6200000000001,2.89717,-0.13120000000012055
1867.63,2.896167,-0.11185000000011769
1867.64,2.894933,-0.1195500000001175
1867.65,2.893776,-0.10805000000010523
1867.66,2.892772,-0.13505000000012046
1867.67,2.891075,-0.12345000000010486
1867.68,2.890303,-0.11575000000010505
1867.69,2.88876,-0.1350000000001046
1867.7,2.887603,-0.10415000000006103
1867.71,2.886677,-0.09260000000008972
1867.72,2.885751,-0.10420000000010532
1867.73,2.884593,-0.09645000000008963
1867.74,2.883822,-0.10415000000011787
1867.75,2.88251,-0.11960000000010496
1867.76,2.88143,-0.11575000000007662
1867.77,2.880195,-0.11575000000010505
1867.78,2.879115,-0.11960000000013338
1867.79,2.877803,-0.13505000000012046
1867.8,2.876414,-0.12345000000010486
1867.81,2.875334,-0.10030000000011796
1867.82,2.874408,-0.10415000000008945
1867.83,2.873251,-0.09644999999943593
1867.8400000000001,2.872479,-0.09259999999937918
1867.8500000000001,2.871399,-0.11575000000007662
1867.8600000000001,2.870164,-0.11575000000010505
1867.8700000000001,2.869084,-0.12345000000013329
1867.88,2.867695,-0.12735000000012064
1867.89,2.866537,-0.11575000000010505
1867.9,2.86538,-0.10030000000008954
1867.91,2.864531,-0.006399999999985084
1867.92,2.865252,-0.11185000000008927
1867.93,2.862294,-0.1903500000001941
1867.94,2.861445,-0.08875000000008981
1867.95,2.860519,-0.10030000000008954
1867.96,2.859439,-0.10800000000008936
1867.97,2.858359,-0.11575000000007662
1867.98,2.857124,-0.13505000000012046
1867.99,2.855658,-0.12345000000013329
1868.0,2.854655,-0.11575000000010505
1868.01,2.853343,-0.11960000000010496
