Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9846980783236603
unloading_parameter,[-6.82410658e-06  7.74353219e-03 -2.98160831e+00  3.91697504e+02]
peak_time,369.59
peak_value,2.984826
peak_mean,2.985716708
plus_minus_toleranz,0.00269094990698521
U3,0.032120290360923676
U3_mean,0.03301099836092369
manufacturer,kyocera
capacitance,25
typ,C
methode,B
klass,1
dut,3
version,1
U_R,3.0
ESR,0.05
I_c,1.579
I_dc,1.5





time,value,derivative
369.59000000000003,2.984826,-0.8256000000007327
369.6,2.97657,-1.2654500000011524
369.61,2.959517,-0.9259500000008245
369.62,2.958051,-0.2315000000002101
369.63,2.954887,-0.1543500000001643
369.64,2.954964,-0.13504999999892675
369.65000000000003,2.952186,-0.10029999999878214
369.66,2.952958,-0.09260000000008972
369.67,2.950334,-0.08100000000007412
369.68,2.951338,-0.10800000000011778
369.69,2.948174,-0.10420000000010532
369.7,2.949254,-0.10415000000006103
369.71,2.946091,-0.07330000000121117
369.72,2.947788,-0.057900000001183116
369.73,2.944933,-0.08485000000007403
369.74,2.946091,-0.06945000000004597
369.75,2.943544,-0.07715000000007421
369.76,2.944548,-0.04240000000004329
369.77,2.942696,-0.10035000000030436
369.78000000000003,2.942541,-0.054050000000131604
369.79,2.941615,-0.06170000000005871
369.8,2.941307,-0.05015000000005898
369.81,2.940612,-0.08875000000008981
369.82,2.939532,-0.030850000000015143
369.83,2.939995,-0.08099999999910779
369.84000000000003,2.937912,-0.05399999999900729
369.85,2.938915,-0.06175000000004616
369.86,2.936677,-0.05790000000004625
369.87,2.937757,-0.07715000000004579
369.88,2.935134,-0.03470000000001505
369.89,2.937063,-0.042449999998581234
369.90000000000003,2.934285,-0.057849999998666135
369.91,2.935906,-0.06175000000004616
369.92,2.93305,-0.0694500000000744
369.93,2.934517,-0.0462500000000432
369.94,2.932125,-0.07335000000006175
369.95,2.93305,-0.04245000000003074
369.96,2.931276,-0.05785000000054197
369.97,2.931893,-0.04245000000051391
369.98,2.930427,-0.06175000000004616
369.99,2.930658,-0.027000000000015234
370.0,2.929887,-0.06555000000008704
370.01,2.929347,-0.04245000000005916
370.02,2.929038,-0.0771999999995785
370.03000000000003,2.927803,-0.05399999999951888
370.04,2.927958,-0.08485000000007403
370.05,2.926106,-0.03860000000003083
370.06,2.927186,-0.05400000000005889
370.07,2.925026,-0.05015000000005898
370.08,2.926183,-0.061749999998852445
370.09000000000003,2.923791,-0.05014999999883685
370.1,2.92518,-0.0578500000000588
370.11,2.922634,-0.04245000000003074
370.12,2.924331,-0.06560000000004607
370.13,2.921322,-0.07330000000010273
370.14,2.922865,-0.04629999999875167
370.15000000000003,2.920396,-0.04244999999872334
370.16,2.922016,-0.0733000000000743
370.17,2.91893,-0.034700000000043474
370.18,2.921322,-0.019300000000043838
370.19,2.918544,-0.10030000000011796
370.2,2.919316,-0.05785000000003038
370.21,2.917387,-0.057900000000643104
370.22,2.918158,-0.030900000000542605
370.23,2.916769,-0.07715000000007421
370.24,2.916615,-0.04240000000004329
370.25,2.915921,-0.05400000000005889
370.26,2.915535,-0.04630000000005907
370.27,2.914995,-0.06944999999976176
370.28000000000003,2.914146,-0.06174999999973352
370.29,2.91376,-0.0694500000000744
370.3,2.912757,-0.015450000000015507
370.31,2.913451,-0.06170000000005871
370.32,2.911523,-0.061700000000030286
370.33,2.912217,-0.0732999999990227
370.34000000000003,2.910057,-0.038599999998893963
370.35,2.911445,-0.05405000000004634
370.36,2.908976,-0.04630000000005907
370.37,2.910519,-0.0578500000000588
370.38,2.907819,-0.03855000000004338
370.39,2.909748,-0.053999999998467274
370.40000000000003,2.906739,-0.061749999998511385
370.41,2.908513,-0.03860000000003083
370.42,2.905967,-0.06170000000005871
370.43,2.907279,-0.05015000000005898
370.44,2.904964,-0.08105000000009
370.45,2.905658,-0.0578500000000588
370.46,2.903807,-0.038550000000753926
370.47,2.904887,-0.027050000000713226
370.48,2.903266,-0.0694500000000744
370.49,2.903498,-0.04630000000003065
370.5,2.90234,-0.0694500000000744
370.51,2.902109,-0.030850000000015143
370.52,2.901723,-0.07714999999964789
370.53000000000003,2.900566,-0.05014999999951897
370.54,2.90072,-0.05020000000004643
370.55,2.899562,-0.03470000000001505
370.56,2.900026,-0.06940000000005853
370.57,2.898174,-0.05405000000007476
370.58,2.898945,-0.054049999999165266
370.59000000000003,2.897093,-0.034699999999077136
370.6,2.898251,-0.06945000000004597
370.61,2.895704,-0.034750000000059345
370.62,2.897556,-0.06170000000005871
370.63,2.89447,-0.04630000000003065
370.64,2.89663,-0.042449999998439125
370.65000000000003,2.893621,-0.042399999998423255
370.66,2.895782,-0.05400000000005889
370.67,2.892541,-0.0694500000000744
370.68,2.894393,-0.06175000000004616
370.69,2.891306,-0.06560000000004607
370.7,2.893081,-0.04240000000004329
370.71,2.890458,-0.07330000000095538
370.72,2.891615,-0.050200000000813816
370.73,2.889454,-0.05400000000003047
370.74,2.890535,-0.03855000000004338
370.75,2.888683,-0.07330000000004588
370.76,2.889069,-0.05015000000003056
370.77,2.88768,-0.05015000000040004
370.78000000000003,2.888066,-0.03475000000034356
370.79,2.886985,-0.06945000000001755
370.8,2.886677,-0.030850000000043565
370.81,2.886368,-0.06560000000007449
370.82,2.885365,-0.03860000000003083
370.83,2.885596,-0.06559999999936394
370.84000000000003,2.884053,-0.057849999999319834
370.85,2.884439,-0.07715000000010264
370.86,2.88251,-0.030850000000015143
370.87,2.883822,-0.04245000000003074
370.88,2.881661,-0.03860000000003083
370.89,2.88305,-0.06944999999865331
370.90000000000003,2.880272,-0.0655999999986534
370.91,2.881738,-0.08485000000007403
370.92,2.878575,-0.04630000000003065
370.93,2.880812,-0.027000000000043656
370.94,2.878035,-0.05400000000003047
370.95,2.879732,-0.04245000000003074
370.96,2.877186,-0.042450000001110766
370.97,2.878883,-0.03860000000111086
370.98,2.876414,-0.04240000000004329
