Signal Name,Original_Signal (Time Cut)
holding_voltage,2.992859034936501
unloading_parameter,[-1.80380739e-04  9.95923044e-01 -1.83301142e+03  1.12462896e+06]
peak_time,1835.98
peak_value,2.99285
peak_mean,2.9931189221556886
plus_minus_toleranz,0.0010348370499161405
U3,0.07588790050558725
U3_mean,0.0761568226612761
manufacturer,maxwell
capacitance,25
typ,C
methode,A
klass,4
dut,2
version,1
U_R,3.0
ESR,0.025
I_c,3.158
I_dc,3.0





time,value,derivative
1835.98,2.99285,-4.67590000000423
1835.99,2.946091,-3.294750000003006
1836.0,2.926955,-1.1458500000010474
1836.01,2.923174,-0.37040000000033046
1836.02,2.919547,-0.3279500000002997
1836.03,2.916615,-0.26620000000025357
1836.04,2.914223,-0.21220000000019468
1836.05,2.912371,-0.20060000000017908
1836.06,2.910211,-0.18130000000016366
1836.07,2.908745,-0.1813500000001511
1836.08,2.906584,-0.20449999999812007
1836.0900000000001,2.904655,-0.17359999999771958
1836.1000000000001,2.903112,-0.14275000000012028
1836.1100000000001,2.9018,-0.1466000000001202
1836.1200000000001,2.90018,-0.1427500000001487
1836.13,2.898945,-0.1427500000001487
1836.14,2.897325,-0.16975000000013551
1836.15,2.89555,-0.13505000000012046
1836.16,2.894624,-0.09260000000008972
1836.17,2.893698,-0.11575000000010505
1836.18,2.892309,-0.13890000000012037
1836.19,2.89092,-0.1388500000001045
1836.2,2.889532,-0.135000000000133
1836.21,2.88822,-0.12735000000012064
1836.22,2.886985,-0.1042000000000769
1836.23,2.886136,-0.11185000000011769
1836.24,2.884748,-0.14270000000016125
1836.25,2.883282,-0.14275000000012028
1836.26,2.881893,-0.11190000000007672
1836.27,2.881044,-0.10420000000010532
1836.28,2.879809,-0.10415000000011787
1836.29,2.878961,-0.11190000000007672
1836.3,2.877571,-0.15050000000010755
1836.31,2.875951,-0.1311500000001331
1836.32,2.874948,-0.09645000000008963
1836.33,2.874022,-0.09644999999889592
1836.3400000000001,2.873019,-0.10414999999900942
1836.3500000000001,2.871939,-0.1311500000001331
1836.3600000000001,2.870396,-0.13890000000012037
1836.3700000000001,2.869161,-0.11575000000007662
1836.38,2.868081,-0.10415000000008945
1836.39,2.867078,-0.09260000000008972
1836.4,2.866229,-0.10420000000010532
1836.41,2.864994,-0.1389000000001488
1836.42,2.863451,-0.1350000000001046
1836.43,2.862294,-0.10415000000006103
1836.44,2.861368,-0.10805000000010523
1836.45,2.860133,-0.09645000000011805
1836.46,2.859439,-0.11960000000010496
1836.47,2.857741,-0.12730000000010477
1836.48,2.856893,-0.10800000000011778
1836.49,2.855581,-0.09650000000007708
1836.5,2.854963,-0.08490000000006148
1836.51,2.853883,-0.11185000000011769
1836.52,2.852726,-0.12730000000010477
1836.53,2.851337,-0.14275000000012028
1836.54,2.849871,-0.1389000000001488
1836.55,2.848559,-0.08875000000008981
1836.56,2.848096,-0.08100000000007412
1836.57,2.846939,-0.11190000000007672
1836.58,2.845858,-0.1273499999982164
1836.5900000000001,2.844392,-0.11569999999807123
1836.6000000000001,2.843544,-0.11185000000011769
1836.6100000000001,2.842155,-0.0965000000001055
1836.6200000000001,2.841614,-0.08875000000006139
1836.63,2.84038,-0.12730000000010477
1836.64,2.839068,-0.13120000000012055
1836.65,2.837756,-0.11190000000010514
1836.66,2.83683,-0.08485000000007403
1836.67,2.836059,-0.09255000000007385
1836.68,2.834979,-0.11190000000013356
1836.69,2.833821,-0.13505000000012046
1836.7,2.832278,-0.12730000000010477
