Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9967012064900973
unloading_parameter,[-2.06424705e-04  2.17125693e-01 -7.62327671e+01  8.93655404e+03]
peak_time,346.39
peak_value,2.994934
peak_mean,2.9961097580000002
plus_minus_toleranz,0.0013714705261199914
U3,0.07439360717916044
U3_mean,0.07556936517916046
manufacturer,maxwell
capacitance,25
typ,C
methode,B
klass,1
dut,1
version,1
U_R,3.0
ESR,0.025
I_c,3.158
I_dc,3.0





time,value,derivative
346.39,2.994934,-2.037099999990309
346.40000000000003,2.974563,-3.117300000000114
346.41,2.932588,-2.388150000002156
346.42,2.9268,-0.4591500000004203
346.43,2.923405,-0.2970500000002687
346.44,2.920859,-0.28550000000024056
346.45,2.917695,-0.285500000000269
346.46,2.915149,-0.20444999999989477
346.47,2.913606,-0.1542999999997221
346.48,2.912063,-0.2160500000001946
346.49,2.909285,-0.20835000000016635
346.5,2.907896,-0.13505000000012046
346.51,2.906584,-0.1389000000001488
346.52,2.905118,-0.18519999999944048
346.53000000000003,2.90288,-0.15044999999929587
346.54,2.902109,-0.09645000000008963
346.55,2.900951,-0.1659000000001356
346.56,2.898791,-0.17745000000016375
346.57,2.897402,-0.0926000000000613
346.58,2.896939,-0.10799999999943566
346.59000000000003,2.895242,-0.15814999999966517
346.6,2.893776,-0.13505000000012046
346.61,2.892541,-0.10035000000007699
346.62,2.891769,-0.11960000000010496
346.63,2.890149,-0.15815000000014834
346.64,2.888606,-0.11959999999996285
346.65000000000003,2.887757,-0.09644999999986226
346.66,2.886677,-0.1466000000001202
346.67,2.884825,-0.13120000000012055
346.68,2.884053,-0.08105000000009
346.69,2.883204,-0.11575000000013347
346.7,2.881738,-0.15430000000014843
346.71,2.880118,-0.12344999999999118
346.72,2.879269,-0.07714999999976158
346.73,2.878575,-0.13115000000010468
346.74,2.876646,-0.1505000000001644
346.75,2.875565,-0.07335000000006175
346.76,2.875179,-0.08485000000007403
346.77,2.873868,-0.15814999999955148
346.78000000000003,2.872016,-0.1273499999994101
346.79,2.871321,-0.06175000000004616
346.8,2.870781,-0.13115000000010468
346.81,2.868698,-0.16975000000013551
346.82,2.867386,-0.09260000000008972
346.83,2.866846,-0.07714999999973315
346.84000000000003,2.865843,-0.13889999999994984
346.85,2.864068,-0.12730000000007635
346.86,2.863297,-0.06170000000005871
346.87,2.862834,-0.11575000000013347
346.88,2.860982,-0.17360000000016385
346.89,2.859362,-0.09645000000020332
346.90000000000003,2.859053,-0.07720000000011851
346.91,2.857818,-0.13505000000012046
346.92,2.856352,-0.1273000000001332
346.93,2.855272,-0.08870000000007394
346.94,2.854578,-0.10415000000008945
346.95,2.853189,-0.13505000000012046
346.96,2.851877,-0.10419999999993479
346.97,2.851105,-0.07714999999984684
346.98,2.850334,-0.11960000000010496
346.99,2.848713,-0.13025000000010323
347.0,2.847729,-0.07715000000007421
347.01,2.84717,-0.10125000000010687
347.02,2.845704,-0.15819999999965262
347.03000000000003,2.844006,-0.12729999999950792
347.04,2.843158,-0.07330000000004588
347.05,2.84254,-0.1080500000000768
347.06,2.840997,-0.16590000000016403
347.07,2.839222,-0.10030000000008954
347.08,2.838991,-0.06169999999963238
347.09000000000003,2.837988,-0.13889999999997826
347.1,2.836213,-0.12345000000013329
347.11,2.835519,-0.06945000000004597
347.12,2.834824,-0.12345000000010486
347.13,2.83305,-0.15815000000014834
347.14,2.831661,-0.09260000000008972
347.15000000000003,2.831198,-0.07720000000003324
347.16,2.830117,-0.1427500000001487
347.17,2.828343,-0.1273000000001332
347.18,2.827571,-0.05790000000004625
347.19,2.827185,-0.10415000000008945
347.2,2.825488,-0.15815000000014834
347.21,2.824022,-0.09645000000011805
347.22,2.823559,-0.08105000000003315
347.23,2.822401,-0.12730000000010477
347.24,2.821013,-0.12345000000010486
347.25,2.819932,-0.10035000000010541
347.26,2.819006,-0.1311500000001331
347.27,2.817309,-0.16974999999965235
347.28000000000003,2.815611,-0.13504999999949518
347.29,2.814608,-0.06560000000004607
347.3,2.814299,-0.09260000000011814
347.31,2.812756,-0.14270000000016125
347.32,2.811445,-0.10030000000006112
347.33,2.81075,-0.09649999999965075
347.34000000000003,2.809515,-0.15814999999989254
347.35,2.807587,-0.1388500000001045
347.36,2.806738,-0.04245000000000232
347.37,2.806738,-0.08875000000011823
347.38,2.804963,-0.1582000000001642
347.39,2.803574,-0.08490000000014675
347.40000000000003,2.803265,-0.06945000000004597
347.41,2.802185,-0.1427500000001487
347.42,2.80041,-0.13505000000014888
347.43,2.799484,-0.06940000000005853
347.44,2.799022,-0.10415000000008945
347.45,2.797401,-0.14665000000013606
347.46,2.796089,-0.09645000000000437
347.47,2.795472,-0.06944999999987544
347.48,2.7947,-0.1273000000001332
347.49,2.792926,-0.1311500000001331
347.5,2.792077,-0.06560000000007449
347.51,2.791614,-0.10805000000010523
347.52,2.789916,-0.16974999999968077
347.53000000000003,2.788219,-0.10029999999940742
347.54,2.78791,-0.05785000000003038
347.55,2.787062,-0.11960000000010496
347.56,2.785518,-0.12350000000012074
347.57,2.784592,-0.08875000000008981
347.58,2.783743,-0.09644999999974857
347.59000000000003,2.782663,-0.12729999999984898
347.6,2.781197,-0.13115000000010468
347.61,2.78004,-0.07715000000010264
347.62,2.779654,-0.09645000000008963
347.63,2.778111,-0.1466000000001202
347.64,2.776722,-0.09260000000008972
347.65000000000003,2.776259,-0.0655999999999608
347.66,2.77541,-0.14275000000012028
347.67,2.773404,-0.15045000000014852
347.68,2.772401,-0.06560000000007449
347.69,2.772092,-0.09645000000008963
347.7,2.770472,-0.1659000000001356
347.71,2.768774,-0.09645000000023174
347.72,2.768543,-0.06555000000011546
347.73,2.767463,-0.1389000000001488
347.74,2.765765,-0.13120000000012055
347.75,2.764839,-0.0733000000000743
347.76,2.764299,-0.10415000000008945
347.77,2.762756,-0.14659999999977913
347.78000000000003,2.761367,-0.11189999999962197
347.79,2.760518,-0.0694500000000744
347.8,2.759978,-0.11575000000010505
347.81,2.758203,-0.13890000000012037
347.82,2.7572,-0.06170000000005871
347.83,2.756969,-0.08099999999950569
347.84000000000003,2.75558,-0.16589999999982297
347.85,2.753651,-0.11190000000010514
347.86,2.753342,-0.0694500000000744
347.87,2.752262,-0.11575000000010505
347.88,2.751027,-0.13890000000012037
347.89,2.749484,-0.10800000000003251
347.90000000000003,2.748867,-0.08099999999996044
347.91,2.747864,-0.13505000000012046
347.92,2.746166,-0.13120000000012055
347.93,2.74524,-0.034700000000043474
347.94,2.745472,-0.07330000000004588
347.95,2.743774,-0.1485500000001423
347.96,2.742501,-0.12344999999979223
347.97,2.741305,-0.10609999999971365
347.98,2.740379,-0.11960000000010496
347.99,2.738913,-0.13115000000010468
348.0,2.737756,-0.07330000000010273
348.01,2.737447,-0.07720000000009009
348.02,2.736212,-0.1581999999995105
348.03000000000003,2.734283,-0.11574999999936608
348.04,2.733897,-0.0578500000000588
348.05,2.733126,-0.10415000000008945
348.06,2.731814,-0.13120000000012055
348.07,2.730502,-0.09260000000008972
348.08,2.729962,-0.08484999999967613
348.09000000000003,2.728805,-0.13884999999987713
348.1,2.727185,-0.11190000000007672
348.11,2.726567,-0.06560000000004607
348.12,2.725873,-0.1273000000001332
348.13,2.724021,-0.15435000000013588
348.14,2.722786,-0.08875000000000455
348.15000000000003,2.722246,-0.08099999999998886
348.16,2.721166,-0.12345000000013329
348.17,2.719777,-0.1273000000001332
348.18,2.71862,-0.08100000000007412
348.19,2.718157,-0.0926000000000613
348.2,2.716768,-0.14275000000012028
348.21,2.715302,-0.11574999999999136
348.22,2.714453,-0.07714999999979
348.23,2.713759,-0.1080500000000768
348.24,2.712292,-0.13505000000012046
348.25,2.711058,-0.07715000000007421
348.26,2.710749,-0.08875000000008981
348.27,2.709283,-0.15044999999966535
348.28000000000003,2.70774,-0.11189999999956513
348.29,2.707045,-0.06945000000004597
348.3,2.706351,-0.11185000000008927
348.31,2.704808,-0.1427500000001487
348.32,2.703496,-0.08105000000009
348.33,2.703187,-0.07329999999959114
348.34000000000003,2.70203,-0.14659999999989282
348.35,2.700255,-0.13120000000012055
348.36,2.699406,-0.06945000000004597
348.37,2.698866,-0.09645000000008963
348.38,2.697477,-0.1466000000001486
348.39,2.695934,-0.09255000000015912
348.40000000000003,2.695626,-0.06945000000010282
348.41,2.694545,-0.13505000000012046
348.42,2.692925,-0.1311500000001331
348.43,2.691922,-0.06560000000004607
348.44,2.691613,-0.10420000000010532
348.45,2.689838,-0.14275000000012028
348.46,2.688758,-0.08869999999993183
