Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9866598320600715
unloading_parameter,[-1.67171487e-04  9.33099764e-01 -1.73619955e+03  1.07690613e+06]
peak_time,1855.88
peak_value,2.987372
peak_mean,2.9872620199999997
plus_minus_toleranz,0.0012214189573569669
U3,0.06494926218551411
U3_mean,0.06483928218551371
manufacturer,sech
capacitance,25
typ,C
methode,A
klass,4
dut,3
version,1
U_R,3.0
ESR,0.025
I_c,3.158
I_dc,3.0





time,value,derivative
1855.88,2.987372,-0.9452000000008612
1855.89,2.97792,-1.822950000001697
1855.9,2.950913,-2.4036000000022
1855.91,2.929848,-1.2480500000011148
1855.92,2.925952,-0.3800000000003081
1855.93,2.922248,-0.3028500000002907
1855.94,2.919895,-0.23340000000021632
1855.95,2.91758,-0.23345000000020377
1855.96,2.915226,-0.20255000000020118
1855.97,2.913529,-0.20060000000017908
1855.98,2.911214,-0.18520000000015102
1855.99,2.909825,-0.18905000000015093
1856.0,2.907433,-0.18905000000017935
1856.01,2.906044,-0.1543500000001643
1856.02,2.904346,-0.16590000000016403
1856.03,2.902726,-0.1253500000001111
1856.04,2.901839,-0.13505000000012046
1856.05,2.900025,-0.13505000000012046
1856.06,2.899138,-0.1408000000001266
1856.07,2.897209,-0.16010000000014202
1856.08,2.895936,-0.14079999999822235
1856.0900000000001,2.894393,-0.13889999999815927
1856.1000000000001,2.893158,-0.10610000000008313
1856.1100000000001,2.892271,-0.1311500000001331
1856.1200000000001,2.890535,-0.12155000000012706
1856.13,2.88984,-0.11960000000010496
1856.14,2.888143,-0.1350000000001046
1856.15,2.88714,-0.11960000000010496
1856.16,2.885751,-0.12540000000012697
1856.17,2.884632,-0.10225000000008322
1856.18,2.883706,-0.11770000000012715
1856.19,2.882278,-0.11380000000011137
1856.2,2.88143,-0.12925000000009845
1856.21,2.879693,-0.12735000000012064
1856.22,2.878883,-0.11185000000008927
1856.23,2.877456,-0.12150000000011119
1856.24,2.876453,-0.10030000000011796
1856.25,2.87545,-0.11960000000010496
1856.26,2.874061,-0.11190000000007672
1856.27,2.873212,-0.13120000000012055
1856.28,2.871437,-0.12345000000013329
1856.29,2.870743,-0.09835000000009586
1856.3,2.86947,-0.11770000000009873
1856.31,2.868389,-0.11960000000010496
1856.32,2.867078,-0.1273000000001332
1856.33,2.865843,-0.09259999999974866
1856.3400000000001,2.865226,-0.11765000000002601
1856.3500000000001,2.86349,-0.13310000000012678
1856.3600000000001,2.862564,-0.11960000000010496
1856.3700000000001,2.861098,-0.11770000000009873
1856.38,2.86021,-0.09840000000011173
1856.39,2.85913,-0.10800000000008936
1856.4,2.85805,-0.09835000000009586
1856.41,2.857163,-0.0733000000000743
1856.42,2.856584,-0.06560000000004607
1856.43,2.855851,-0.16975000000016394
1856.44,2.853189,-0.1678500000001577
1856.45,2.852494,-0.09070000000008349
1856.46,2.851375,-0.11960000000010496
1856.47,2.850102,-0.11575000000007662
1856.48,2.84906,-0.12540000000009854
1856.49,2.847594,-0.09450000000009595
1856.5,2.84717,-0.08870000000010236
1856.51,2.84582,-0.10800000000011778
1856.52,2.84501,-0.10995000000008304
1856.53,2.843621,-0.11575000000010505
1856.54,2.842695,-0.09645000000008963
1856.55,2.841692,-0.13310000000009836
1856.56,2.840033,-0.12155000000009863
1856.57,2.839261,-0.11575000000010505
1856.58,2.837718,-0.10994999999988408
1856.5900000000001,2.837062,-0.09839999999974225
1856.6000000000001,2.83575,-0.11190000000010514
1856.6100000000001,2.834824,-0.10030000000008954
1856.6200000000001,2.833744,-0.129200000000111
1856.63,2.83224,-0.11380000000008295
1856.64,2.831468,-0.11770000000009873
1856.65,2.829886,-0.10030000000011796
1856.66,2.829462,-0.08680000000009613
1856.67,2.82815,-0.12350000000009231
1856.68,2.826992,-0.12155000000012706
1856.69,2.825719,-0.1273000000001332
1856.7,2.824446,-0.09645000000008963
1856.71,2.82379,-0.12540000000009854
1856.72,2.821938,-0.12925000000009845
1856.73,2.821205,-0.11570000000008918
1856.74,2.819624,-0.12345000000010486
1856.75,2.818736,-0.10420000000010532
1856.76,2.81754,-0.14275000000012028
1856.77,2.815881,-0.12345000000010486
1856.78,2.815071,-0.11575000000013347
1856.79,2.813566,-0.11190000000013356
1856.8,2.812833,-0.11380000000008295
1856.81,2.81129,-0.12150000000008276
1856.82,2.810403,-0.10225000000008322
1856.83,2.809245,-0.11379999999886081
1856.8400000000001,2.808127,-0.10414999999875363
1856.8500000000001,2.807162,-0.12350000000012074
1856.8600000000001,2.805657,-0.10805000000010523
1856.8700000000001,2.805001,-0.11185000000008927
1856.88,2.80342,-0.11570000000008918
1856.89,2.802687,-0.10225000000008322
1856.9,2.801375,-0.12735000000012064
1856.91,2.80014,-0.10610000000011155
1856.92,2.799253,-0.11765000000011128
1856.93,2.797787,-0.10225000000011164
1856.94,2.797208,-0.10995000000008304
1856.95,2.795588,-0.12150000000008276
1856.96,2.794778,-0.09645000000011805
1856.97,2.793659,-0.10610000000011155
1856.98,2.792656,-0.10030000000006112
1856.99,2.791653,-0.11960000000010496
1857.0,2.790264,-0.09840000000011173
1857.01,2.789685,-0.10225000000011164
1857.02,2.788219,-0.10995000000008304
1857.03,2.787486,-0.10610000000008313
1857.04,2.786097,-0.11575000000010505
1857.05,2.785171,-0.10995000000008304
1857.06,2.783898,-0.13505000000012046
1857.07,2.78247,-0.09840000000011173
1857.08,2.78193,-0.09644999999804327
1857.0900000000001,2.780541,-0.1002999999980716
1857.1000000000001,2.779924,-0.10610000000011155
1857.1100000000001,2.778419,-0.12345000000010486
1857.1200000000001,2.777455,-0.10415000000008945
1857.13,2.776336,-0.11765000000011128
1857.14,2.775102,-0.10225000000011164
1857.15,2.774291,-0.11575000000010505
1857.16,2.772787,-0.11185000000008927
1857.17,2.772054,-0.11770000000009873
1857.18,2.770433,-0.12345000000010486
1857.19,2.769585,-0.10415000000011787
1857.2,2.76835,-0.12155000000009863
1857.21,2.767154,-0.10610000000008313
1857.22,2.766228,-0.1273000000001332
1857.23,2.764608,-0.10610000000008313
1857.24,2.764106,-0.10035000000007699
1857.25,2.762601,-0.11960000000010496
1857.26,2.761714,-0.10415000000011787
1857.27,2.760518,-0.10995000000011146
1857.28,2.759515,-0.10030000000006112
1857.29,2.758512,-0.12345000000010486
1857.3,2.757046,-0.10805000000010523
1857.31,2.756351,-0.10995000000011146
1857.32,2.754847,-0.10220000000009577
1857.33,2.754307,-0.08104999999849838
1857.3400000000001,2.753226,-0.09644999999869697
1857.3500000000001,2.752378,-0.10610000000008313
1857.3600000000001,2.751104,-0.13310000000012678
1857.3700000000001,2.749716,-0.1157000000001176
1857.38,2.74879,-0.13315000000011423
1857.39,2.747053,-0.11385000000009882
1857.4,2.746513,-0.09645000000008963
1857.41,2.745124,-0.10030000000008954
1857.42,2.744507,-0.08485000000007403
1857.43,2.743427,-0.12150000000011119
