Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9847068546947693
unloading_parameter,[-1.39156252e-04  1.46857690e-01 -5.17676148e+01  6.09753002e+03]
peak_time,347.2
peak_value,2.981353
peak_mean,2.9849025080000002
plus_minus_toleranz,0.0021371500132650405
U3,0.06489116315684518
U3_mean,0.06844067115684549
manufacturer,sech
capacitance,25
typ,C
methode,B
klass,1
dut,3
version,1
U_R,3.0
ESR,0.025
I_c,3.158
I_dc,3.0





time,value,derivative
347.2,2.981353,-4.521600000004105
347.21,2.936137,-2.762350000004659
347.22,2.926106,-0.6519999999967467
347.23,2.923097,-0.2816500000002691
347.24,2.920473,-0.28550000000024056
347.25,2.917387,-0.3125000000002842
347.26,2.914223,-0.23920000000023833
347.27,2.912603,-0.1581499999996936
347.28000000000003,2.91106,-0.21219999999991046
347.29,2.908359,-0.2546500000002254
347.3,2.905967,-0.15045000000014852
347.31,2.90535,-0.09645000000011805
347.32,2.904038,-0.1775000000001512
347.33,2.9018,-0.20834999999968318
347.34000000000003,2.899871,-0.13499999999942247
347.35,2.8991,-0.07715000000007421
347.36,2.898328,-0.1582000000001358
347.37,2.895936,-0.21220000000019468
347.38,2.894084,-0.04245000000003074
347.39,2.895087,-0.0655999999989092
347.40000000000003,2.892772,-0.2237499999995407
347.41,2.890612,-0.20060000000017908
347.42,2.88876,-0.10805000000010523
347.43,2.888451,-0.04630000000003065
347.44,2.887834,-0.13885000000013292
347.45,2.885674,-0.18905000000015093
347.46,2.884053,-0.09260000000023183
347.47,2.883822,-0.04630000000003065
347.48,2.883127,-0.14275000000012028
347.49,2.880967,-0.17745000000016375
347.5,2.879578,-0.08875000000008981
347.51,2.879192,-0.0694500000000744
347.52,2.878189,-0.142749999999495
347.53000000000003,2.876337,-0.16589999999956717
347.54,2.874871,-0.10415000000006103
347.55,2.874254,-0.06560000000004607
347.56,2.873559,-0.13505000000014888
347.57,2.871553,-0.17360000000019227
347.58,2.870087,-0.08490000000017517
347.59000000000003,2.869855,-0.05790000000007467
347.6,2.868929,-0.1350000000001046
347.61,2.867155,-0.16970000000014807
347.62,2.865535,-0.08490000000006148
347.63,2.865457,-0.05405000000004634
347.64,2.864454,-0.142749999999495
