Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9884079592532924
unloading_parameter,[-4.34782966e-05  4.81515683e-02 -1.78511313e+01  2.21767877e+03]
peak_time,363.22
peak_value,2.986446
peak_mean,2.987324856287425
plus_minus_toleranz,0.0023826963224473276
U3,0.06224173634939145
U3_mean,0.06312059263681657
manufacturer,vishay
capacitance,25
typ,C
methode,B
klass,1
dut,1
version,1
U_R,3.0
ESR,0.034
I_c,2.322
I_dc,2.206





time,value,derivative
363.22,2.986446,-3.248500000002942
363.23,2.953961,-2.3650000000021407
363.24,2.939146,-0.9452000000008809
363.25,2.935057,-0.3665000000003431
363.26,2.931816,-0.2546500000002254
363.27,2.929964,-0.17749999999972488
363.28000000000003,2.928266,-0.18134999999969637
363.29,2.926337,-0.20060000000017908
363.3,2.924254,-0.2122000000002231
363.31,2.922093,-0.18520000000015102
363.32,2.92055,-0.12730000000010477
363.33,2.919547,-0.11184999999969136
363.34000000000003,2.918313,-0.14274999999983606
363.35,2.916692,-0.16590000000016403
363.36,2.914995,-0.15815000000014834
363.37,2.913529,-0.12345000000007644
363.38,2.912526,-0.0849000000000899
363.39,2.911831,-0.08104999999974893
363.40000000000003,2.910905,-0.1157499999999061
363.41,2.909516,-0.1350000000001046
363.42,2.908205,-0.1388500000001045
363.43,2.906739,-0.11190000000010514
363.44,2.905967,-0.0733000000000743
363.45,2.905273,-0.0849000000000899
363.46,2.904269,-0.11189999999973566
363.47,2.903035,-0.10799999999971988
363.48,2.902109,-0.09260000000008972
363.49,2.901183,-0.08105000000003315
363.5,2.900488,-0.06945000000004597
363.51,2.899794,-0.09645000000008963
363.52,2.898559,-0.12344999999979223
363.53000000000003,2.897325,-0.11184999999969136
363.54,2.896322,-0.08105000000006157
363.55,2.895704,-0.06175000000004616
363.56,2.895087,-0.06555000000005862
363.57,2.894393,-0.10415000000011787
363.58,2.893004,-0.10804999999996312
363.59000000000003,2.892232,-0.08099999999987517
363.6,2.891384,-0.061700000000030286
363.61,2.890998,-0.06175000000004616
363.62,2.890149,-0.10420000000010532
363.63,2.888914,-0.10415000000011787
363.64,2.888066,-0.0925999999998055
363.65000000000003,2.887062,-0.08489999999974884
363.66,2.886368,-0.04630000000003065
363.67,2.886136,-0.06945000000004597
363.68,2.884979,-0.10800000000011778
363.69,2.883976,-0.10030000000011796
363.7,2.882973,-0.10030000000008954
363.71,2.88197,-0.06560000000007449
363.72,2.881661,-0.026999999999901547
363.73,2.88143,-0.06945000000004597
363.74,2.880272,-0.10805000000010523
363.75,2.879269,-0.10030000000011796
363.76,2.878266,-0.08875000000008981
363.77,2.877494,-0.05015000000005898
363.78000000000003,2.877263,-0.0462500000000432
363.79,2.876569,-0.09645000000008963
363.8,2.875334,-0.1042000000000769
363.81,2.874485,-0.08875000000006139
363.82,2.873559,-0.0694500000000744
363.83,2.873096,-0.04629999999991696
363.84000000000003,2.872633,-0.06554999999997335
363.85,2.871785,-0.10415000000008945
363.86,2.87055,-0.1042000000000769
363.87,2.869701,-0.06560000000004607
363.88,2.869238,-0.06170000000008713
363.89,2.868467,-0.06554999999997335
363.90000000000003,2.867927,-0.08875000000003297
363.91,2.866692,-0.10420000000010532
363.92,2.865843,-0.09260000000008972
363.93,2.86484,-0.06945000000004597
363.94,2.864454,-0.03860000000003083
363.95,2.864068,-0.05785000000003038
363.96,2.863297,-0.0886999999997613
363.97,2.862294,-0.08099999999976149
363.98,2.861677,-0.07715000000007421
363.99,2.860751,-0.06950000000006185
364.0,2.860287,-0.05405000000004634
364.01,2.85967,-0.09640000000007376
364.02,2.858359,-0.11574999999984925
364.03000000000003,2.857355,-0.09649999999979286
364.04,2.856429,-0.06940000000005853
364.05,2.855967,-0.030850000000015143
364.06,2.855812,-0.05790000000007467
364.07,2.854809,-0.11190000000010514
364.08,2.853574,-0.11574999999982083
364.09000000000003,2.852494,-0.05784999999960405
364.1,2.852417,-0.015399999999999636
364.11,2.852186,-0.04245000000003074
364.12,2.851568,-0.10420000000010532
364.13,2.850102,-0.12345000000013329
364.14,2.849099,-0.08869999999990341
364.15000000000003,2.848328,-0.06559999999981869
364.16,2.847787,-0.04630000000003065
