Signal Name,Original_Signal (Time Cut)
holding_voltage,2.6902670192102365
unloading_parameter,[ 1.23342748e-03 -4.64045765e+00  4.36495717e+03]
peak_time,1838.05
peak_value,2.690302
peak_mean,2.6902860878243513
plus_minus_toleranz,0.0010720683493952497
U3,0.08061913020358435
U3_mean,0.08060321802793569
ESR_calc,0.029853043714050252
manufacturer,wuerthelektronik
capacitance,25
typ,ESR
methode,A
klass,3
dut,1
version,1
U_R,2.7
ESR,0.025
I_c,2.842
I_dc,2.7




time,value,derivative
1838.05,2.690302,-3.0634000000027912
1838.06,2.659668,-3.040200000002784
1838.07,2.629498,-1.7554000000016003
1838.08,2.62456,-0.4359499999967227
1838.0900000000001,2.620779,-0.32019999999531024
1838.1000000000001,2.618156,-0.266200000000282
1838.1100000000001,2.615455,-0.27780000000026916
1838.1200000000001,2.6126,-0.24690000000020973
1838.13,2.610517,-0.20060000000017908
1838.14,2.608588,-0.18905000000015093
1838.15,2.606736,-0.1620500000001357
1838.16,2.605347,-0.17360000000019227
1838.17,2.603264,-0.20835000000019477
1838.18,2.60118,-0.20065000000016653
1838.19,2.599251,-0.16200000000014825
1838.2,2.59794,-0.11960000000010496
1838.21,2.596859,-0.14665000000013606
1838.22,2.595007,-0.18905000000015093
1838.23,2.593078,-0.18130000000016366
1838.24,2.591381,-0.11185000000011769
1838.25,2.590841,-0.0849000000000899
1838.26,2.589683,-0.10805000000010523
1838.27,2.58868,-0.12730000000010477
1838.28,2.587137,-0.1620500000001357
1838.29,2.585439,-0.1659000000001356
1838.3,2.583819,-0.14275000000012028
1838.31,2.582584,-0.11575000000013347
1838.32,2.581504,-0.1273000000001332
1838.33,2.580038,-0.15814999999807355
1838.3400000000001,2.578341,-0.14659999999793172
1838.3500000000001,2.577106,-0.11575000000010505
1838.3600000000001,2.576026,-0.11190000000013356
1838.3700000000001,2.574868,-0.10035000000010541
1838.38,2.574019,-0.11185000000008927
1838.39,2.572631,-0.15045000000014852
1838.4,2.57101,-0.13120000000012055
1838.41,2.570007,-0.10030000000006112
1838.42,2.569004,-0.09645000000008963
1838.43,2.568078,-0.11185000000011769
1838.44,2.566767,-0.12345000000010486
1838.45,2.565609,-0.13505000000012046
1838.46,2.564066,-0.12345000000010486
1838.47,2.56314,-0.08105000000009
1838.48,2.562445,-0.0849000000000899
1838.49,2.561442,-0.12730000000009056
1838.5,2.559899,-0.13890000000013458
1838.51,2.558664,-0.10805000000010523
1838.52,2.557738,-0.10030000000007533
