Signal Name,Original_Signal (Time Cut)
holding_voltage,2.681348719254257
unloading_parameter,[ 9.75609269e-04 -7.71019717e-01  1.52335714e+02]
peak_time,343.42
peak_value,2.682354
peak_mean,2.682397836327345
plus_minus_toleranz,0.002828950741732937
U3,0.06951184811844868
U3_mean,0.06955568444579363
ESR_calc,0.025761364609553195
manufacturer,wuerthelektronik
capacitance,25
typ,C
methode,B
klass,1
dut,2
version,1
U_R,2.7
ESR,0.025
I_c,2.842
I_dc,2.7




time,value,derivative
343.42,2.682354,-0.1929000000001824
343.43,2.680425,-1.091850000001017
343.44,2.660517,-2.4267500000022153
343.45,2.63189,-1.601100000001452
343.46,2.628495,-0.4359499999985985
343.47,2.623171,-0.35104999999828124
343.48,2.621474,-0.30090000000029704
343.49,2.617153,-0.2546500000002254
343.5,2.616381,-0.2315000000002101
343.51,2.612523,-0.2199000000001945
343.52,2.611983,-0.20449999999874535
343.53000000000003,2.608433,-0.1851999999986731
343.54,2.608279,-0.16975000000013551
343.55,2.605038,-0.15815000000011992
343.56,2.605116,-0.16590000000016403
343.57,2.60172,-0.16205000000016412
343.58,2.601875,-0.15429999999875577
343.59000000000003,2.598634,-0.15044999999872744
343.6,2.598866,-0.13120000000012055
343.61,2.59601,-0.1543500000001643
343.62,2.595779,-0.13885000000013292
343.63,2.593233,-0.13115000000010468
343.64,2.593156,-0.15044999999889797
343.65000000000003,2.590224,-0.1157499999987408
343.66,2.590841,-0.12350000000012074
343.67,2.587754,-0.13120000000012055
343.68,2.588217,-0.12730000000010477
343.69,2.585208,-0.135000000000133
343.7,2.585517,-0.12735000000012064
343.71,2.582661,-0.11960000000070181
343.72,2.583125,-0.12730000000070163
343.73,2.580115,-0.15050000000013597
343.74,2.580115,-0.13890000000012037
343.75,2.577337,-0.1157000000001176
343.76,2.577801,-0.11960000000010496
343.77,2.574945,-0.13120000000060372
343.78000000000003,2.575177,-0.08485000000047194
343.79,2.573248,-0.08100000000007412
343.8,2.573557,-0.11190000000010514
343.81,2.57101,-0.11960000000010496
343.82,2.571165,-0.10415000000008945
343.83,2.568927,-0.11190000000041778
343.84000000000003,2.568927,-0.108000000000402
343.85,2.566767,-0.11960000000010496
343.86,2.566535,-0.11575000000010505
343.87,2.564452,-0.11190000000010514
343.88,2.564297,-0.09650000000007708
343.89,2.562522,-0.20444999999946845
343.90000000000003,2.560208,-0.11959999999913862
343.91,2.56013,-0.007750000000015689
343.92,2.560053,-0.09640000000008797
343.93,2.558202,-0.11185000000008927
343.94,2.557816,-0.0965000000001055
343.95,2.556272,-0.10030000000008954
343.96,2.55581,-0.09254999999956226
343.97,2.554421,-0.09259999999954971
343.98,2.553958,-0.10420000000009111
343.99,2.552337,-0.09260000000008972
344.0,2.552106,-0.11185000000010348
344.01,2.5501,-0.11575000000011926
344.02,2.549791,-0.10034999999940908
344.03000000000003,2.548093,-0.10414999999942154
344.04,2.547708,-0.10800000000011778
344.05,2.545933,-0.10420000000010532
344.06,2.545624,-0.10030000000007533
344.07,2.543927,-0.09645000000008963
344.08,2.543695,-0.10034999999935224
344.09000000000003,2.54192,-0.1041499999993789
344.1,2.541612,-0.0694500000000744
344.11,2.540531,-0.10030000000010375
344.12,2.539606,-0.10800000000008936
344.13,2.538371,-0.09260000000008972
344.14,2.537754,-0.10414999999956365
344.15000000000003,2.536288,-0.11189999999960776
344.16,2.535516,-0.10805000000010523
344.17,2.534127,-0.10415000000008945
344.18,2.533433,-0.09260000000007551
344.19,2.532275,-0.10030000000010375
344.2,2.531427,-0.10800000000008936
344.21,2.530115,-0.104199999999949
344.22,2.529343,-0.09259999999990498
344.23,2.528263,-0.09645000000008963
344.24,2.527414,-0.09260000000007551
344.25,2.526411,-0.10030000000007533
344.26,2.525408,-0.11190000000011935
344.27,2.524173,-0.1234499999997638
344.28000000000003,2.522939,-0.10029999999966321
