Signal Name,Original_Signal (Time Cut)
holding_voltage,2.985240959617436
unloading_parameter,[-2.31314590e-05  2.81014293e-02 -1.14415439e+01  1.56358676e+03]
peak_time,397.8
peak_value,2.980968
peak_mean,2.98335648502994
plus_minus_toleranz,0.0055110512271249685
U3,0.054855530925958185
U3_mean,0.05724401595589823
manufacturer,vishay
capacitance,50
typ,C
methode,B
klass,1
dut,6
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,3.409





time,value,derivative
397.8,2.980968,-1.1729000000010545
397.81,2.969239,-1.9329000000017516
397.82,2.94231,-1.5432000000014057
397.83,2.938375,-0.33564999999967426
397.84000000000003,2.935597,-0.25464999999937277
397.85,2.933282,-0.21990000000022292
397.86,2.931199,-0.20450000000019486
397.87,2.929192,-0.15435000000013588
397.88,2.928112,-0.17360000000016385
397.89,2.92572,-0.13505000000034784
397.90000000000003,2.925411,-0.13890000000034775
397.91,2.922942,-0.13115000000010468
397.92,2.922788,-0.10415000000008945
397.93,2.920859,-0.11575000000013347
397.94,2.920473,-0.11575000000013347
397.95,2.918544,-0.11190000000024725
397.96000000000004,2.918235,-0.08485000000013088
397.97,2.916847,-0.11960000000010496
397.98,2.915843,-0.10030000000008954
397.99,2.914841,-0.10030000000008954
398.0,2.913837,-0.07720000000009009
398.01,2.913297,-0.16590000000016403
398.02,2.910519,-0.08100000000098362
398.03000000000003,2.911677,-0.01925000000073851
398.04,2.910134,-0.0926000000000613
398.05,2.909825,-0.08875000000008981
398.06,2.908359,-0.06560000000007449
398.07,2.908513,-0.07715000000007421
398.08,2.906816,-0.09260000000026025
398.09000000000003,2.906661,-0.06175000000013142
398.1,2.905581,-0.0733000000000743
398.11,2.905195,-0.08870000000010236
398.12,2.903807,-0.08875000000006139
398.13,2.90342,-0.06175000000004616
398.14,2.902572,-0.08869999999981815
398.15000000000003,2.901646,-0.06944999999976176
398.16,2.901183,-0.06945000000004597
398.17,2.900257,-0.06175000000004616
398.18,2.899948,-0.07715000000007421
398.19,2.898714,-0.06170000000005871
398.2,2.898714,-0.08104999999940787
398.21000000000004,2.897093,-0.07329999999936376
398.22,2.897248,-0.05785000000003038
398.23,2.895936,-0.05790000000004625
398.24,2.89609,-0.0733000000000743
398.25,2.89447,-0.08485000000007403
398.26,2.894393,-0.05790000000004625
398.27,2.893312,-0.061750000000159844
398.28000000000003,2.893158,-0.06940000000017221
398.29,2.891924,-0.0733000000000743
398.3,2.891692,-0.05790000000004625
398.31,2.890766,-0.0733000000000743
398.32,2.890226,-0.04245000000005916
398.33,2.889917,-0.08489999999954989
398.34000000000003,2.888528,-0.07329999999950587
398.35,2.888451,-0.06170000000008713
398.36,2.887294,-0.061700000000030286
398.37,2.887217,-0.06945000000004597
398.38,2.885905,-0.05405000000004634
398.39,2.886136,-0.06174999999942088
398.40000000000003,2.88467,-0.06939999999940483
398.41,2.884748,-0.05785000000003038
398.42,2.883513,-0.07720000000006166
398.43,2.883204,-0.0578500000000588
398.44,2.882356,-0.06940000000005853
398.45,2.881816,-0.05789999999987572
398.46000000000004,2.881198,-0.07719999999994798
398.47,2.880272,-0.05015000000003056
398.48,2.880195,-0.0694500000000744
398.49,2.878883,-0.08100000000007412
398.5,2.878575,-0.07715000000007421
398.51,2.87734,-0.05405000000007476
398.52,2.877494,-0.07329999999933534
398.53000000000003,2.875874,-0.06169999999931974
398.54,2.87626,-0.04245000000003074
398.55,2.875025,-0.06175000000004616
398.56,2.875025,-0.04240000000004329
398.57,2.874177,-0.061700000000030286
398.58,2.873791,-0.07719999999963534
398.59000000000003,2.872633,-0.07329999999964798
398.6,2.872325,-0.05400000000005889
398.61,2.871553,-0.07720000000006166
398.62,2.870781,-0.06560000000004607
398.63,2.870241,-0.07715000000004579
398.64,2.869238,-0.05015000000017267
398.65000000000003,2.869238,-0.08100000000032992
398.66,2.867618,-0.0733000000000743
398.67,2.867772,-0.06175000000004616
398.68,2.866383,-0.0578500000000588
398.69,2.866615,-0.0578500000000588
398.7,2.865226,-0.06945000000027335
398.71000000000004,2.865226,-0.06175000000021669
398.72,2.863991,-0.06175000000004616
398.73,2.863991,-0.0578500000000588
398.74,2.862834,-0.0733000000000743
398.75,2.862525,-0.05400000000005889
398.76,2.861754,-0.06560000000007449
398.77,2.861213,-0.04245000000000232
398.78000000000003,2.860905,-0.08870000000013079
